1.1999e-06    	1.000000e+00	0.000000e+00	1.000000e+00	1.000000e+00	2.608978e-03
2.63962e-06   	3.097029e-02	3.739993e-01	8.829357e-01	8.979389e-02	5.257497e-03
4.36717e-06   	2.168672e-01	2.780892e-01	3.570028e-01	5.177887e-02	1.264500e-02
6.44009e-06   	3.281712e-01	7.970696e-02	3.788136e-02	3.579866e-02	1.561660e-02
8.92729e-06   	2.327311e-01	4.209268e-02	3.190113e-02	1.828335e-02	1.138677e-02
1.19115e-05   	2.020308e-01	3.315995e-02	2.474668e-02	1.070911e-02	5.509078e-03
1.54914e-05   	1.853659e-01	2.347802e-02	1.541032e-02	8.021617e-03	4.488564e-03
1.97859e-05   	1.753029e-01	1.784805e-02	1.110998e-02	6.604145e-03	4.185568e-03
2.49383e-05   	1.656811e-01	1.487932e-02	8.817441e-03	5.961987e-03	4.224366e-03
3.11186e-05   	1.601959e-01	1.323005e-02	7.491634e-03	5.774305e-03	4.241684e-03
3.85304e-05   	1.556445e-01	1.245527e-02	6.688950e-03	5.767420e-03	4.133648e-03
4.74246e-05   	1.502079e-01	1.227337e-02	6.200582e-03	5.797738e-03	4.230696e-03
5.80012e-05   	1.415753e-01	1.228463e-02	5.846376e-03	5.904453e-03	4.334873e-03
7.02752e-05   	1.301184e-01	1.219934e-02	5.521679e-03	6.043523e-03	4.528937e-03
8.42608e-05   	1.251040e-01	1.267902e-02	5.646181e-03	6.346537e-03	4.694718e-03
9.99751e-05   	1.193271e-01	1.317523e-02	6.578454e-03	8.207826e-03	4.843403e-03
0.000117435   	1.017836e-01	1.211396e-02	5.538098e-03	6.589268e-03	4.884886e-03
0.000134958   	8.297520e-02	1.025502e-02	4.523411e-03	5.313113e-03	4.404235e-03
0.000152511   	7.040787e-02	9.043203e-03	4.039921e-03	4.768302e-03	3.975735e-03
0.000170096   	5.965289e-02	8.071583e-03	3.707096e-03	4.371995e-03	3.667398e-03
0.000187712   	5.160260e-02	7.364854e-03	3.444630e-03	4.075367e-03	3.446550e-03
0.000205329   	4.560345e-02	6.795704e-03	3.224233e-03	3.830282e-03	3.243898e-03
0.000222977   	4.112304e-02	6.341563e-03	3.041054e-03	3.630341e-03	3.085243e-03
0.000240625   	3.577102e-02	5.962970e-03	2.883348e-03	3.460397e-03	2.956400e-03
0.000258273   	3.199876e-02	5.652008e-03	2.747981e-03	3.318076e-03	2.839594e-03
0.000275921   	2.780225e-02	5.382334e-03	2.627752e-03	3.194186e-03	2.736665e-03
0.000293569   	2.557562e-02	5.162399e-03	2.522498e-03	3.084869e-03	2.648621e-03
0.000311217   	2.342281e-02	4.971708e-03	2.430244e-03	2.984373e-03	2.563739e-03
0.000328865   	2.162688e-02	4.805449e-03	2.346425e-03	2.897835e-03	2.481600e-03
0.000346545   	1.962727e-02	4.666230e-03	2.273615e-03	2.824937e-03	2.419406e-03
0.000364226   	1.818103e-02	4.539253e-03	2.205384e-03	2.748294e-03	2.355126e-03
0.000381906   	1.726725e-02	4.425248e-03	2.147644e-03	2.680298e-03	2.291010e-03
0.000399586   	1.617923e-02	4.321893e-03	2.095554e-03	2.620377e-03	2.236172e-03
0.000417267   	1.538855e-02	4.226294e-03	2.047735e-03	2.566509e-03	2.187899e-03
0.000434947   	1.438754e-02	4.137711e-03	2.003159e-03	2.514268e-03	2.137996e-03
0.000452627   	1.369342e-02	4.062068e-03	1.962216e-03	2.465298e-03	2.092016e-03
0.00047034    	1.341962e-02	3.997882e-03	1.926941e-03	2.424349e-03	2.056443e-03
0.000488054   	1.280518e-02	3.931468e-03	1.890411e-03	2.380901e-03	2.014479e-03
0.000505767   	1.255955e-02	3.868836e-03	1.855385e-03	2.341362e-03	1.977068e-03
0.000523513   	1.225592e-02	3.815968e-03	1.825978e-03	2.308421e-03	1.947280e-03
0.000541259   	1.139284e-02	3.760400e-03	1.796408e-03	2.272387e-03	1.910446e-03
0.000559039   	1.132820e-02	3.714999e-03	1.770594e-03	2.241772e-03	1.878435e-03
0.000576818   	1.087729e-02	3.667613e-03	1.743001e-03	2.207428e-03	1.848177e-03
0.000594598   	1.066876e-02	3.622776e-03	1.716796e-03	2.175436e-03	1.819794e-03
0.000612411   	1.082585e-02	3.586295e-03	1.694909e-03	2.150933e-03	1.793276e-03
0.000630224   	1.043998e-02	3.542861e-03	1.670572e-03	2.123849e-03	1.764480e-03
0.000648038   	1.023150e-02	3.500545e-03	1.647246e-03	2.097089e-03	1.739179e-03
0.000665885   	1.012201e-02	3.467452e-03	1.627963e-03	2.074230e-03	1.718054e-03
0.000683766   	9.852240e-03	3.436281e-03	1.609101e-03	2.051078e-03	1.695857e-03
0.000701648   	9.655068e-03	3.400986e-03	1.588251e-03	2.026260e-03	1.671810e-03
0.000719564   	9.578606e-03	3.374696e-03	1.571075e-03	2.006663e-03	1.652431e-03
0.00073748    	9.461080e-03	3.341442e-03	1.551775e-03	1.984270e-03	1.631426e-03
0.00075543    	9.494478e-03	3.315895e-03	1.536031e-03	1.966397e-03	1.613181e-03
0.000773416   	9.210199e-03	3.289132e-03	1.520189e-03	1.948887e-03	1.595719e-03
0.000791401   	8.939083e-03	3.256731e-03	1.502023e-03	1.929284e-03	1.577021e-03
0.000809422   	8.835544e-03	3.230722e-03	1.487136e-03	1.913802e-03	1.561632e-03
0.000827478   	8.740380e-03	3.206963e-03	1.472969e-03	1.898388e-03	1.546210e-03
0.00084557    	8.708613e-03	3.183636e-03	1.459757e-03	1.883453e-03	1.530488e-03
0.000863698   	8.577164e-03	3.163562e-03	1.446684e-03	1.868317e-03	1.517495e-03
0.000881825   	8.293818e-03	3.138342e-03	1.431261e-03	1.849551e-03	1.501816e-03
0.000899989   	8.403791e-03	3.119303e-03	1.419095e-03	1.835707e-03	1.490941e-03
0.000918189   	8.397985e-03	3.100301e-03	1.407037e-03	1.822827e-03	1.478932e-03
0.000936425   	8.321794e-03	3.080781e-03	1.394898e-03	1.810452e-03	1.466707e-03
0.000954699   	8.082379e-03	3.061574e-03	1.383296e-03	1.798599e-03	1.455130e-03
0.000973009   	7.932916e-03	3.042002e-03	1.371975e-03	1.786521e-03	1.445990e-03
0.000991319   	7.833744e-03	3.017115e-03	1.357806e-03	1.770249e-03	1.434275e-03
0.00100967    	7.798716e-03	2.999055e-03	1.347307e-03	1.758533e-03	1.425053e-03
0.00102805    	7.862952e-03	2.981232e-03	1.337203e-03	1.748055e-03	1.414273e-03
0.00104648    	7.913621e-03	2.964151e-03	1.327530e-03	1.737152e-03	1.403296e-03
0.00106494    	7.707186e-03	2.948617e-03	1.317892e-03	1.726263e-03	1.392739e-03
0.00108344    	7.418729e-03	2.934532e-03	1.308469e-03	1.715402e-03	1.384257e-03
0.00110193    	7.192109e-03	2.914435e-03	1.296460e-03	1.700403e-03	1.373238e-03
0.00112047    	7.504006e-03	2.900228e-03	1.287351e-03	1.689929e-03	1.365470e-03
0.00113905    	7.319488e-03	2.885690e-03	1.278115e-03	1.680920e-03	1.357167e-03
0.00115766    	7.218471e-03	2.871069e-03	1.269298e-03	1.672620e-03	1.349001e-03
0.00117632    	7.185106e-03	2.856051e-03	1.260472e-03	1.664033e-03	1.340868e-03
0.00119497    	6.823788e-03	2.835223e-03	1.249055e-03	1.651859e-03	1.330418e-03
0.00121367    	6.981991e-03	2.821038e-03	1.240507e-03	1.642930e-03	1.323934e-03
0.0012324     	6.920125e-03	2.806892e-03	1.232647e-03	1.633405e-03	1.316968e-03
0.00125118    	6.862492e-03	2.792701e-03	1.224959e-03	1.623565e-03	1.310553e-03
0.00126995    	6.799751e-03	2.773956e-03	1.214611e-03	1.610644e-03	1.300926e-03
0.00128876    	6.810760e-03	2.762746e-03	1.207001e-03	1.602685e-03	1.293680e-03
0.00130762    	6.701940e-03	2.751857e-03	1.199790e-03	1.595005e-03	1.286351e-03
0.00132648    	6.478062e-03	2.735306e-03	1.189959e-03	1.583907e-03	1.276976e-03
0.00134537    	6.392915e-03	2.724646e-03	1.182744e-03	1.577077e-03	1.271828e-03
0.00136431    	6.324953e-03	2.713762e-03	1.175527e-03	1.570149e-03	1.266610e-03
0.00138325    	6.340342e-03	2.696696e-03	1.166196e-03	1.559717e-03	1.258375e-03
0.00140223    	6.286625e-03	2.685083e-03	1.159545e-03	1.552707e-03	1.252706e-03
0.00142125    	6.083109e-03	2.673402e-03	1.153184e-03	1.545580e-03	1.246513e-03
0.00144027    	5.826417e-03	2.656004e-03	1.143886e-03	1.534339e-03	1.237150e-03
0.00145934    	5.942610e-03	2.644706e-03	1.137576e-03	1.525924e-03	1.230666e-03
0.0014784     	5.741544e-03	2.627891e-03	1.128824e-03	1.514831e-03	1.221252e-03
0.00149751    	5.946049e-03	2.617397e-03	1.122931e-03	1.508100e-03	1.216045e-03
0.00151666    	5.754757e-03	2.608281e-03	1.117262e-03	1.501564e-03	1.211702e-03
0.00153581    	5.670861e-03	2.594103e-03	1.109144e-03	1.491508e-03	1.204809e-03
0.001555      	5.545645e-03	2.585978e-03	1.103904e-03	1.484691e-03	1.200462e-03
